task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum,Small,20261101,BE,-1,4,0.0033760366896449165,0.08420110661852877,0.07824050138123838,0.004240118999973674
small_pendulum,Small,20261101,Gen1,1,4,0.04246005572416286,0.07841577491575755,0.06968190151643772,0.010318406999999752
small_pendulum,Small,20261101,Gen2,2,4,0.05128128093250551,0.08848393846403664,0.07595906842032005,0.009864816000003884
small_pendulum,Small,20261101,Gen3,3,4,0.05457717958757672,0.10653897160434694,0.07756995020764577,0.009184810000078869
small_pendulum,Small,20261102,BE,-1,4,0.004255233725521855,0.10002574315533072,0.07352495133124912,0.004314761000046019
small_pendulum,Small,20261102,Gen1,1,4,0.05503710492061563,0.06445496427460934,0.05574264305267984,0.011261884000077771
small_pendulum,Small,20261102,Gen2,2,4,0.06313349030580578,0.07869232595549641,0.05889495508436986,0.009197048000032737
small_pendulum,Small,20261102,Gen3,3,4,0.06308628634097393,0.10446622736947443,0.0684248183874295,0.009800588999951287
small_pendulum,Small,20261103,BE,-1,4,0.0025551900626440424,0.09605925306193855,0.07133293117954378,0.0051181590000624055
small_pendulum,Small,20261103,Gen1,1,4,0.031008440198074305,0.08946261217983892,0.06700487834390009,0.008969069999920976
small_pendulum,Small,20261103,Gen2,2,4,0.03636280777003287,0.09361099010196057,0.0682631307563271,0.009245187000033184
small_pendulum,Small,20261103,Gen3,3,4,0.04166348495137771,0.1120589257106248,0.07320986183925426,0.00891050199993515
small_pendulum,Small,20261104,BE,-1,4,0.003032138697519034,0.09908146396250402,0.08622576923068181,0.004506933999891771
small_pendulum,Small,20261104,Gen1,1,4,0.03832787222739648,0.08270060939940893,0.07322000405727558,0.008991367000021455
small_pendulum,Small,20261104,Gen2,2,4,0.04295473779786062,0.09357401169202773,0.07573578834438821,0.00906122999992931
small_pendulum,Small,20261104,Gen3,3,4,0.045508504772591475,0.09053786279521026,0.07365985687516956,0.00871074300005148
small_pendulum,Small,20261105,BE,-1,4,0.003711474949092497,0.07867005402103268,0.07901239881844432,0.004216212999949676
small_pendulum,Small,20261105,Gen1,1,4,0.0483500638128182,0.07128782066536819,0.0650384638389333,0.008766593000018474
small_pendulum,Small,20261105,Gen2,2,4,0.052771439034333324,0.08321860203866316,0.07390157597255935,0.009293174999925213
small_pendulum,Small,20261105,Gen3,3,4,0.05395332984930343,0.08888539823216565,0.07327067649446509,0.008713331999956608
small_pendulum,Small,20261106,BE,-1,4,0.003438902366622193,0.09553199310391959,0.07816445432089612,0.004231540000091627
small_pendulum,Small,20261106,Gen1,1,2,0.033927128578842926,0.23131051284005325,0.1540856971100142,0.008923682000045119
small_pendulum,Small,20261106,Gen2,2,4,0.04124421064465666,0.1277273383503916,0.0911561741427903,0.00907024299999648
small_pendulum,Small,20261106,Gen3,3,4,0.04436619688152054,0.10550821783211405,0.06929495890143453,0.00877910500003054
small_pendulum,Small,20261107,BE,-1,4,0.003583029787594018,0.11551296224006587,0.0907267945728013,0.0045305979999739066
small_pendulum,Small,20261107,Gen1,1,4,0.044622411196745086,0.07852879934327343,0.060852117638895725,0.009347004000005654
small_pendulum,Small,20261107,Gen2,2,4,0.04898670939010573,0.09555234786645152,0.0723146632874484,0.008833359000050223
small_pendulum,Small,20261107,Gen3,3,4,0.048204842516838486,0.13308451190241127,0.09298243976540073,0.009467035999932705
small_pendulum,Small,20261108,BE,-1,4,0.002666605567199628,0.09453614161272568,0.0967728670744093,0.004401276999942638
small_pendulum,Small,20261108,Gen1,1,2,0.029323783926042873,0.16780000214696797,0.14535253007064872,0.009300852000023951
small_pendulum,Small,20261108,Gen2,2,4,0.035539431131045025,0.09905717629164595,0.09472321162898117,0.008902482000053169
small_pendulum,Small,20261108,Gen3,3,4,0.03859877645860204,0.10215047770006701,0.07711628468974951,0.008857971999987058
small_pendulum,Small,20261109,BE,-1,4,0.0027550805127037397,0.12185716895257769,0.09275051321003727,0.004516971000043668
small_pendulum,Small,20261109,Gen1,1,4,0.03280487407587855,0.13183570726650415,0.09244250674324679,0.008825922000028186
small_pendulum,Small,20261109,Gen2,2,4,0.03759796295564874,0.14442753205838404,0.09581775729018964,0.008998621000046114
small_pendulum,Small,20261109,Gen3,3,4,0.03902185588718156,0.09043401484331334,0.06671126058507353,0.00908060699998714
small_pendulum,Small,20261110,BE,-1,4,0.0030472950748290607,0.11150554600570342,0.08218323125099038,0.00424028999998427
small_pendulum,Small,20261110,Gen1,1,2,0.03863464334110116,0.1368650690872068,0.09681421255387203,0.009411600999897018
small_pendulum,Small,20261110,Gen2,2,4,0.04278168176411248,0.09450622646324676,0.06779661122968934,0.008851301000049716
small_pendulum,Small,20261110,Gen3,3,4,0.04475560141882553,0.15438724817845054,0.09625140829849906,0.008712315000025228
medium_cartpole_like,Medium,20261201,BE,-1,4,0.003115518807278019,0.18224534810268414,0.12913615284056487,0.004559642000003805
medium_cartpole_like,Medium,20261201,Gen1,1,4,0.03741635748838927,0.11228349064108845,0.07913884809040864,0.009565431000055469
medium_cartpole_like,Medium,20261201,Gen2,2,4,0.03965275467783579,0.11219189396698272,0.07556203350483202,0.009435307999979159
medium_cartpole_like,Medium,20261201,Gen3,3,4,0.04085936496062972,0.11919969816824348,0.07928338078015512,0.009094570000002022
medium_cartpole_like,Medium,20261202,BE,-1,4,0.0032184595716896088,0.13256670075042262,0.11092822570169646,0.0044009609999875465
medium_cartpole_like,Medium,20261202,Gen1,1,4,0.040054615320882704,0.07991236510349287,0.06613345646711603,0.009259447999966142
medium_cartpole_like,Medium,20261202,Gen2,2,4,0.044734508767614825,0.09366647888263113,0.07073216702200563,0.009202698999956738
medium_cartpole_like,Medium,20261202,Gen3,3,4,0.04605072560077388,0.09878340129840336,0.0763615547123614,0.00907190099997024
medium_cartpole_like,Medium,20261203,BE,-1,4,0.001845862510435477,0.13672587051111829,0.09211231952873818,0.004404320000048756
medium_cartpole_like,Medium,20261203,Gen1,1,4,0.021333205538573288,0.09269456858784637,0.06599589600621295,0.009751905000030092
medium_cartpole_like,Medium,20261203,Gen2,2,4,0.024456009933658665,0.09191412099267694,0.06126739993602601,0.009155192999969586
medium_cartpole_like,Medium,20261203,Gen3,3,4,0.024442798539439106,0.09698524007132613,0.06412507691303293,0.009558546999983264
medium_cartpole_like,Medium,20261204,BE,-1,4,0.0018387158510703796,0.1968401190048286,0.13312054289667408,0.004380257000093479
medium_cartpole_like,Medium,20261204,Gen1,1,4,0.02268568823574193,0.12478765838513993,0.08898411552383473,0.009182006000060028
medium_cartpole_like,Medium,20261204,Gen2,2,4,0.02439277651062979,0.136200832071249,0.09187841271657433,0.009323331000018698
medium_cartpole_like,Medium,20261204,Gen3,3,4,0.024646282674333723,0.14428364978502087,0.09742957225274863,0.009065880999969522
medium_cartpole_like,Medium,20261205,BE,-1,4,0.00473386922357182,0.26802693138601524,0.19640123417357686,0.005009028000017679
medium_cartpole_like,Medium,20261205,Gen1,1,4,0.04424002179984993,0.16152585060938773,0.12373183808166001,0.009788483999955133
medium_cartpole_like,Medium,20261205,Gen2,2,4,0.05048413115280967,0.14352873736201002,0.1074103526755449,0.009294135000004644
medium_cartpole_like,Medium,20261205,Gen3,3,4,0.05304103258119284,0.16224162015725682,0.11959056172888098,0.009555210999906194
medium_cartpole_like,Medium,20261206,BE,-1,4,0.0019868656861920264,0.3021565282021758,0.2408220007602923,0.004553289999989829
medium_cartpole_like,Medium,20261206,Gen1,1,4,0.01855109450007946,0.17314152844494032,0.12123657151125172,0.010067399999911686
medium_cartpole_like,Medium,20261206,Gen2,2,4,0.02060347180677444,0.1508870076554268,0.1261330257223248,0.009179724000091483
medium_cartpole_like,Medium,20261206,Gen3,3,4,0.021316840777444616,0.16655060921466994,0.1380867584668183,0.00968785600002775
medium_cartpole_like,Medium,20261207,BE,-1,4,0.002522946900905406,0.15272065853458625,0.11933886218327619,0.00437359300008211
medium_cartpole_like,Medium,20261207,Gen1,1,4,0.026055933741069393,0.10820840275218416,0.08165079307907028,0.009217233999947894
medium_cartpole_like,Medium,20261207,Gen2,2,4,0.028679953620301315,0.0986457003495801,0.07910650154792392,0.009143020000010438
medium_cartpole_like,Medium,20261207,Gen3,3,4,0.03012423079648435,0.1011288346344402,0.0820231692511801,0.009373954000011508
medium_cartpole_like,Medium,20261208,BE,-1,4,0.0027035545710711534,0.19620436396141946,0.14053123359773723,0.004532694999966225
medium_cartpole_like,Medium,20261208,Gen1,1,4,0.029980413532810956,0.1364049401215502,0.09050009767189417,0.009976176000009218
medium_cartpole_like,Medium,20261208,Gen2,2,4,0.03249371897808696,0.11270474650923065,0.0788383556675467,0.010782477000020663
medium_cartpole_like,Medium,20261208,Gen3,3,4,0.03334017703520938,0.1196126564175999,0.08442034999012396,0.011069855000073403
medium_cartpole_like,Medium,20261209,BE,-1,4,0.0035362397557326215,0.17348042617795942,0.12241247662119577,0.00533455800007232
medium_cartpole_like,Medium,20261209,Gen1,1,4,0.03797249072610981,0.0747267598709248,0.06047817667285913,0.009239201000013963
medium_cartpole_like,Medium,20261209,Gen2,2,4,0.04303511873828424,0.09125590224153778,0.06808851805735656,0.009813021000013578
medium_cartpole_like,Medium,20261209,Gen3,3,4,0.04459687967213594,0.09768797663787158,0.07132769592910057,0.011144358000024113
medium_cartpole_like,Medium,20261210,BE,-1,4,0.0033733576773189375,0.12311440791632686,0.09836252571261127,0.00575127899992367
medium_cartpole_like,Medium,20261210,Gen1,1,4,0.039997951490797115,0.10862985245344456,0.07872318200888688,0.009481366999921192
medium_cartpole_like,Medium,20261210,Gen2,2,4,0.04000064646472096,0.10605272602692649,0.07605986255148077,0.009586240999965412
medium_cartpole_like,Medium,20261210,Gen3,3,4,0.04075603385143576,0.11385891402114752,0.08106796232445965,0.010145470999987083
