task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum,Small,20260326,BE,-1,0,0.010085615003314152,0.1311383792490257,0.09074707273139879,0.004087830999992548
small_pendulum,Small,20260326,BE,-1,1,0.007204343598075061,0.12886910380798683,0.08999235001841327,0.004513814999995702
small_pendulum,Small,20260326,BE,-1,2,0.005628897965921891,0.12341253814215121,0.08804785221826339,0.0044094979999727
small_pendulum,Small,20260326,BE,-1,4,0.003834071011456855,0.10643401436824781,0.0818415453093049,0.004321673000049486
small_pendulum,Small,20260326,Gen2,2,0,0.16780949459051844,0.22270412428940917,0.13432533318205123,0.007039938999980677
small_pendulum,Small,20260326,Gen2,2,1,0.10675495114568402,0.17938434032370065,0.1104314151769829,0.008799037999949633
small_pendulum,Small,20260326,Gen2,2,2,0.08307070776010946,0.12772815868086293,0.08288515251640698,0.008900811999978941
small_pendulum,Small,20260326,Gen2,2,4,0.05860351983653094,0.08385018245816976,0.06236075290946777,0.00892610699997931
small_pendulum,Small,20260337,BE,-1,0,0.010750873632549448,0.09709183256133737,0.07428268318572444,0.0035596060000102625
small_pendulum,Small,20260337,BE,-1,1,0.005722795773769418,0.0918594048990913,0.07321523696148315,0.004176626000003125
small_pendulum,Small,20260337,BE,-1,2,0.005485555040353811,0.08958475007269702,0.07365293361716849,0.004269243000010192
small_pendulum,Small,20260337,BE,-1,4,0.004901742955789888,0.09533956435853082,0.08008122336745267,0.004388013999971463
small_pendulum,Small,20260337,Gen2,2,0,0.1975665450268981,0.26278252626327747,0.16347073552830738,0.007478708999997252
small_pendulum,Small,20260337,Gen2,2,1,0.07769923895985237,0.21282262614254896,0.13471977618793315,0.008661851999988812
small_pendulum,Small,20260337,Gen2,2,2,0.07439689339776982,0.16688466012714998,0.10890788480499713,0.008586245999993025
small_pendulum,Small,20260337,Gen2,2,4,0.06672835921293085,0.12434640251041987,0.08711101252609495,0.008681359999968663
small_pendulum,Small,20260348,BE,-1,0,0.012863057147134366,0.07420352714625879,0.06138235645270063,0.0033626279999907638
small_pendulum,Small,20260348,BE,-1,1,0.009900264646287741,0.07826325454567348,0.06168635095011621,0.004438583000023755
small_pendulum,Small,20260348,BE,-1,2,0.008985548574206257,0.08026800864568083,0.06245719870668941,0.00438741100003881
small_pendulum,Small,20260348,BE,-1,4,0.00838454644620718,0.08049407305598744,0.06628825407809301,0.004157663000000866
small_pendulum,Small,20260348,Gen2,2,0,0.21212610047865454,0.2309055194764391,0.15496006776819027,0.006908412999962366
small_pendulum,Small,20260348,Gen2,2,1,0.13229788006509172,0.18575286104610828,0.12630785565219296,0.008441328999992948
small_pendulum,Small,20260348,Gen2,2,2,0.11485718782064047,0.13803951154032026,0.09705231639437292,0.00882962100001805
small_pendulum,Small,20260348,Gen2,2,4,0.1077768647992967,0.09994470636458364,0.07517824010843255,0.009032912999998643
medium_cartpole_like,Medium,20260326,BE,-1,0,0.005899953360209567,0.13686505937508256,0.1163256738276656,0.0036697490000392463
medium_cartpole_like,Medium,20260326,BE,-1,1,0.003850846138682957,0.13489471690670285,0.11493373386446955,0.004422545000011269
medium_cartpole_like,Medium,20260326,BE,-1,2,0.003202989804220298,0.13136612876041426,0.11281171891548872,0.004303324000034081
medium_cartpole_like,Medium,20260326,BE,-1,4,0.002588926318423864,0.12688490162342617,0.10970732845364473,0.004433915999982219
medium_cartpole_like,Medium,20260326,Gen2,2,0,0.1323153332893559,0.07699571188477333,0.06745157904461209,0.007381330999976399
medium_cartpole_like,Medium,20260326,Gen2,2,1,0.06049943867259976,0.07637864753737526,0.06579775122446405,0.009130772999981218
medium_cartpole_like,Medium,20260326,Gen2,2,2,0.0464235781430401,0.07264458322313515,0.06351035132290457,0.010028264999959902
medium_cartpole_like,Medium,20260326,Gen2,2,4,0.03593187311746982,0.0676434088111017,0.06087323890007268,0.00954673600000433
medium_cartpole_like,Medium,20260337,BE,-1,0,0.006398149608880768,0.13433606168443596,0.10250013715364588,0.003694407000011779
medium_cartpole_like,Medium,20260337,BE,-1,1,0.0037209523842065954,0.13615763550583695,0.10385614309346557,0.004492540999990524
medium_cartpole_like,Medium,20260337,BE,-1,2,0.0029776503597377796,0.1369258408693806,0.10434712130390934,0.004275710999991134
medium_cartpole_like,Medium,20260337,BE,-1,4,0.0023681713246811132,0.1403837212866146,0.10608336280446856,0.004362788000037199
medium_cartpole_like,Medium,20260337,Gen2,2,0,0.15284816959390268,0.07187549663968344,0.0584458804933719,0.007274950999999419
medium_cartpole_like,Medium,20260337,Gen2,2,1,0.07009530951446341,0.0763100036884716,0.06087707787216978,0.009151457999962531
medium_cartpole_like,Medium,20260337,Gen2,2,2,0.04830432707979403,0.07778754925697764,0.06166494275355453,0.009461064999982227
medium_cartpole_like,Medium,20260337,Gen2,2,4,0.03523793126219224,0.08251495491672789,0.06399946112416684,0.009298694999984036
medium_cartpole_like,Medium,20260348,BE,-1,0,0.009219537985635,0.1296024507034126,0.09597243366211028,0.0037021879999770135
medium_cartpole_like,Medium,20260348,BE,-1,1,0.006412523770351898,0.13231012032033515,0.09762915202747308,0.004525584000020899
medium_cartpole_like,Medium,20260348,BE,-1,2,0.005331467041062031,0.13462656059617398,0.09880451203999578,0.004383334000010564
medium_cartpole_like,Medium,20260348,BE,-1,4,0.004474263578426731,0.1369502053717074,0.09980642835881184,0.005162541000004239
medium_cartpole_like,Medium,20260348,Gen2,2,0,0.19022009635186146,0.09430260519118772,0.0644568350234608,0.0075320419999798105
medium_cartpole_like,Medium,20260348,Gen2,2,1,0.10808124950449112,0.0963537815035072,0.06480800741713165,0.009030340999970576
medium_cartpole_like,Medium,20260348,Gen2,2,2,0.08453029842605514,0.09761786580652045,0.06556947977601162,0.009236116000010952
medium_cartpole_like,Medium,20260348,Gen2,2,4,0.06615986071515276,0.09841379153949761,0.06596786860185376,0.01031030600000804
large_lq,Large,20260326,BE,-1,0,0.050015541675580116,0.5678011843148839,0.4070268758646865,0.007093828999984453
large_lq,Large,20260326,BE,-1,1,0.03632986217581854,0.5484375200668707,0.395053694521417,0.008393577999981972
large_lq,Large,20260326,BE,-1,2,0.03207390713965187,0.5443613191031442,0.3912772137656357,0.009019109000007575
large_lq,Large,20260326,BE,-1,4,0.028352525712514932,0.5317761944464139,0.38028962447926606,0.01231311399999413
large_lq,Large,20260326,Gen2,2,0,1.0593108084207903,0.39900466146313934,0.28675530836853247,0.013729925000006915
large_lq,Large,20260326,Gen2,2,1,0.49542040553364564,0.3962740067228747,0.27824754295637466,0.01774394099999199
large_lq,Large,20260326,Gen2,2,2,0.3669822174828663,0.3938138350769737,0.2738602511954462,0.019736526999963644
large_lq,Large,20260326,Gen2,2,4,0.28746817355902393,0.3847188346986085,0.2644688522743219,0.02395688199999313
large_lq,Large,20260337,BE,-1,0,0.03857647319186777,0.6444149378002243,0.7680515569845617,0.006967972999973426
large_lq,Large,20260337,BE,-1,1,0.027373551850150026,0.636023918482893,0.7711810368485394,0.008355545000028997
large_lq,Large,20260337,BE,-1,2,0.023381751439087863,0.630792438609749,0.7649910261145544,0.009501413000009507
large_lq,Large,20260337,BE,-1,4,0.019112546875189443,0.6209576992895591,0.7311095524929438,0.011610197000038625
