task,label,seed,method,time_index,time,rmse
small_pendulum,Small,20260326,BE,0,0.0,0.10343143237630907
small_pendulum,Small,20260326,BE,6,0.48,0.0772778591952348
small_pendulum,Small,20260326,BE,13,1.04,0.06736335608032294
small_pendulum,Small,20260326,BE,20,1.6,0.0688739941659283
small_pendulum,Small,20260326,BE,30,2.4,0.046589186902353606
small_pendulum,Small,20260326,BE,38,3.04,0.025886016674152065
small_pendulum,Small,20260326,Gen2,0,0.0,0.09098150195218045
small_pendulum,Small,20260326,Gen2,6,0.48,0.05753613316400691
small_pendulum,Small,20260326,Gen2,13,1.04,0.05145605392611829
small_pendulum,Small,20260326,Gen2,20,1.6,0.053380566432830505
small_pendulum,Small,20260326,Gen2,30,2.4,0.03409111261217646
small_pendulum,Small,20260326,Gen2,38,3.04,0.024553270924122402
small_pendulum,Small,20260337,BE,0,0.0,0.11268303157075656
small_pendulum,Small,20260337,BE,6,0.48,0.0781034639687225
small_pendulum,Small,20260337,BE,13,1.04,0.12039378944155545
small_pendulum,Small,20260337,BE,20,1.6,0.09343729790744064
small_pendulum,Small,20260337,BE,30,2.4,0.07532708829104741
small_pendulum,Small,20260337,BE,38,3.04,0.013835420388359379
small_pendulum,Small,20260337,Gen2,0,0.0,0.12833355916015718
small_pendulum,Small,20260337,Gen2,6,0.48,0.08969638970874588
small_pendulum,Small,20260337,Gen2,13,1.04,0.10648388592166289
small_pendulum,Small,20260337,Gen2,20,1.6,0.07764859637486392
small_pendulum,Small,20260337,Gen2,30,2.4,0.052631336080793636
small_pendulum,Small,20260337,Gen2,38,3.04,0.011982221486164317
small_pendulum,Small,20260348,BE,0,0.0,0.09712574231987857
small_pendulum,Small,20260348,BE,6,0.48,0.06903398254702618
small_pendulum,Small,20260348,BE,13,1.04,0.0854289359630674
small_pendulum,Small,20260348,BE,20,1.6,0.0874540932479357
small_pendulum,Small,20260348,BE,30,2.4,0.0752062871606067
small_pendulum,Small,20260348,BE,38,3.04,0.009739054883413893
small_pendulum,Small,20260348,Gen2,0,0.0,0.12462553693486146
small_pendulum,Small,20260348,Gen2,6,0.48,0.08954025109240789
small_pendulum,Small,20260348,Gen2,13,1.04,0.08989695621624401
small_pendulum,Small,20260348,Gen2,20,1.6,0.07051497829832802
small_pendulum,Small,20260348,Gen2,30,2.4,0.054816828743531214
small_pendulum,Small,20260348,Gen2,38,3.04,0.008984207078575784
medium_cartpole_like,Medium,20260326,BE,0,0.0,0.18629458290284284
medium_cartpole_like,Medium,20260326,BE,6,0.48,0.1188922163671547
medium_cartpole_like,Medium,20260326,BE,13,1.04,0.1741057352688209
medium_cartpole_like,Medium,20260326,BE,20,1.6,0.08058389994088352
medium_cartpole_like,Medium,20260326,BE,30,2.4,0.058799379471513744
medium_cartpole_like,Medium,20260326,BE,38,3.04,0.048902359905149295
medium_cartpole_like,Medium,20260326,Gen2,0,0.0,0.10808583649216598
medium_cartpole_like,Medium,20260326,Gen2,6,0.48,0.07877894526042878
