task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum,Small,20260326,BE,-1,4,0.003834071011456855,0.10643401436824781,0.0818415453093049,0.004321673000049486
small_pendulum,Small,20260326,Gen2,2,4,0.05860351983653094,0.08385018245816976,0.06236075290946777,0.00892610699997931
small_pendulum,Small,20260337,BE,-1,4,0.004901742955789888,0.09533956435853082,0.08008122336745267,0.004388013999971463
small_pendulum,Small,20260337,Gen2,2,4,0.06672835921293085,0.12434640251041987,0.08711101252609495,0.008681359999968663
small_pendulum,Small,20260348,BE,-1,4,0.00838454644620718,0.08049407305598744,0.06628825407809301,0.004157663000000866
small_pendulum,Small,20260348,Gen2,2,4,0.1077768647992967,0.09994470636458364,0.07517824010843255,0.009032912999998643
medium_cartpole_like,Medium,20260326,BE,-1,4,0.002588926318423864,0.12688490162342617,0.10970732845364473,0.004433915999982219
medium_cartpole_like,Medium,20260326,Gen2,2,4,0.03593187311746982,0.0676434088111017,0.06087323890007268,0.00954673600000433
medium_cartpole_like,Medium,20260337,BE,-1,4,0.0023681713246811132,0.1403837212866146,0.10608336280446856,0.004362788000037199
medium_cartpole_like,Medium,20260337,Gen2,2,4,0.03523793126219224,0.08251495491672789,0.06399946112416684,0.009298694999984036
medium_cartpole_like,Medium,20260348,BE,-1,4,0.004474263578426731,0.1369502053717074,0.09980642835881184,0.005162541000004239
medium_cartpole_like,Medium,20260348,Gen2,2,4,0.06615986071515276,0.09841379153949761,0.06596786860185376,0.01031030600000804
large_lq,Large,20260326,BE,-1,4,0.028352525712514932,0.5317761944464139,0.38028962447926606,0.01231311399999413
large_lq,Large,20260326,Gen2,2,4,0.28746817355902393,0.3847188346986085,0.2644688522743219,0.02395688199999313
large_lq,Large,20260337,BE,-1,4,0.019112546875189443,0.6209576992895591,0.7311095524929438,0.011610197000038625
large_lq,Large,20260337,Gen2,2,4,0.22314778721367348,0.4991175311008804,0.45212399742210274,0.027360007000027053
large_lq,Large,20260348,BE,-1,4,0.016577212588024425,0.4136216743594545,0.41243514201468734,0.011980821000008746
large_lq,Large,20260348,Gen2,2,4,0.21005156250468343,0.3263115884976662,0.2680586627976143,0.025440276999972866
