task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,behavior_gain_bias
small_pendulum_rich,Small,20264000,BE,-1,8,0.0028419484099578146,0.13323130206349657,0.09222875242266505,0.004502086999991661,0.0,0.0
small_pendulum_rich,Small,20264000,Gen2,2,8,0.04808929120391239,0.12720485789530997,0.07945841675536064,0.009643381000159934,0.0,0.0
small_pendulum_rich,Small,20265000,MBLinear,-1,2,0.08784522119162073,0.8551751051846196,0.41578985174487204,0.008039860000053523,0.0,0.0
small_pendulum_rich,Small,20264015,BE,-1,8,0.002203899848553305,0.1652126066752294,0.09470072784578566,0.00456674999986717,0.15,0.15
small_pendulum_rich,Small,20264015,Gen2,2,8,0.03791919172456181,0.18849772324569372,0.10200811524662255,0.009487641000077929,0.15,0.15
small_pendulum_rich,Small,20265015,MBLinear,-1,0,0.11975918942747461,0.9163735900408769,0.4287521268128905,0.005441292000114117,0.15,0.15
small_pendulum_rich,Small,20264035,BE,-1,8,0.0030708853802780775,0.2080728954345319,0.10394588114164048,0.004266993000101138,0.35,0.35
small_pendulum_rich,Small,20264035,Gen2,2,8,0.055351630431762076,0.22805345050110853,0.11029858787682117,0.009259150000161753,0.35,0.35
small_pendulum_rich,Small,20265035,MBLinear,-1,8,0.11422246167354862,0.7499874516415876,0.336464367702257,0.018437112000128764,0.35,0.35
medium_cartpole_like_quadratic,Medium,20265000,BE,-1,8,0.0028114695230524764,0.19371147826429247,0.10902592677785165,0.005418941000016275,0.0,0.0
medium_cartpole_like_quadratic,Medium,20265000,Gen2,2,8,0.04466382108008843,0.09698865984511616,0.06351351727577681,0.010393208999857961,0.0,0.0
medium_cartpole_like_quadratic,Medium,20266000,MBLinear,-1,6,0.48575535678769427,0.7971650594490063,0.41646133333393387,0.01793990499982101,0.0,0.0
medium_cartpole_like_quadratic,Medium,20265015,BE,-1,8,0.0018814086934678888,0.15204988802814004,0.10236345468101991,0.005134218000193869,0.15,0.15
medium_cartpole_like_quadratic,Medium,20265015,Gen2,2,8,0.038600521233673295,0.09173676801259917,0.06483714027298268,0.011205055000118591,0.15,0.15
medium_cartpole_like_quadratic,Medium,20266015,MBLinear,-1,1,0.2893511445116899,0.9810370203093138,0.5011740770574168,0.00808211300000039,0.15,0.15
medium_cartpole_like_quadratic,Medium,20265035,BE,-1,8,0.00504882855893128,0.19270931387441614,0.1442588743102186,0.004745201000105226,0.35,0.35
medium_cartpole_like_quadratic,Medium,20265035,Gen2,2,8,0.05716001385698119,0.1097819911234198,0.08381390570547541,0.010149635000061608,0.35,0.35
medium_cartpole_like_quadratic,Medium,20266035,MBLinear,-1,8,0.07839740324666174,1.6819059597657262,0.8828505369006461,0.020482716000060464,0.35,0.35
networked_lq_12d_quadratic,Large,20266000,BE,-1,8,0.07093563113908552,1.4880088159503317,0.8782452595882055,0.024889647999998488,0.0,0.0
networked_lq_12d_quadratic,Large,20266000,Gen2,2,8,1.005212405043501,1.3354026664182816,0.7577674923990945,0.045018625000011525,0.0,0.0
networked_lq_12d_quadratic,Large,20267000,MBLinear,-1,8,7.472642126486117,7.9261690844753465,4.408173941402276,0.023782262999930026,0.0,0.0
networked_lq_12d_quadratic,Large,20266015,BE,-1,8,0.04325522771053993,1.4124004937639185,0.8834151058956199,0.023945400000002337,0.15,0.15
networked_lq_12d_quadratic,Large,20266015,Gen2,2,8,0.7005068580226116,1.0493062513799913,0.5846570165701471,0.04641491000006681,0.15,0.15
networked_lq_12d_quadratic,Large,20267015,MBLinear,-1,2,8.924470671725087,4.5528709579580475,2.711583317989481,0.011681883000164817,0.15,0.15
networked_lq_12d_quadratic,Large,20266035,BE,-1,8,0.024218212325571076,1.8024230318273964,1.0164478721489183,0.023985182999922472,0.35,0.35
networked_lq_12d_quadratic,Large,20266035,Gen2,2,8,0.4812946193387228,1.4022653578547495,0.7667880481458194,0.040266716999894925,0.35,0.35
networked_lq_12d_quadratic,Large,20267035,MBLinear,-1,8,7.454236813302768,7.9281089210683975,3.800608934791437,0.024210635000144975,0.35,0.35
