task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,family,dt,horizon_steps
small_pendulum_rich,Small,20262120,BE,-1,8,0.0011999594957343325,0.09164914993254265,0.06012944294420122,0.0017670000001999142,0.0,Small,0.12,28
small_pendulum_rich,Small,20262120,Gen1,1,8,0.010565281170574389,0.07250555811067025,0.04613561133606004,0.002065208000203711,0.0,Small,0.12,28
small_pendulum_rich,Small,20262120,Gen2,2,8,0.011078025891290692,0.10499121282642729,0.05970962092684367,0.0033033749996320694,0.0,Small,0.12,28
small_pendulum_rich,Small,20262120,Gen3,3,8,0.011194342468256973,0.08174222011652617,0.05306324858769502,0.0019429160001891432,0.0,Small,0.12,28
small_pendulum_rich,Small,20262121,BE,-1,8,0.0018577578186514206,0.08097274854990659,0.05552378697868364,0.0013913749999119318,0.0,Small,0.12,28
small_pendulum_rich,Small,20262121,Gen1,1,8,0.016839020202535217,0.06757241007726995,0.04385318853474828,0.002024584000082541,0.0,Small,0.12,28
small_pendulum_rich,Small,20262121,Gen2,2,8,0.01951890720112348,0.08989323970070151,0.05898959964507599,0.002320292000149493,0.0,Small,0.12,28
small_pendulum_rich,Small,20262121,Gen3,3,8,0.021637472110299642,0.08498698056783052,0.0524220709308715,0.0024805000002743327,0.0,Small,0.12,28
small_pendulum_rich,Small,20262122,BE,-1,8,0.00264159438769642,0.0708955604209532,0.051311150075408506,0.001048124999670108,0.0,Small,0.12,28
small_pendulum_rich,Small,20262122,Gen1,1,8,0.02392532702457175,0.05370575950775546,0.0380387006253533,0.002035167000030924,0.0,Small,0.12,28
small_pendulum_rich,Small,20262122,Gen2,2,8,0.02627113401635053,0.05185517912219358,0.0490738141756876,0.002288125000177388,0.0,Small,0.12,28
small_pendulum_rich,Small,20262122,Gen3,3,8,0.026291769999820705,0.0739762634733972,0.04800891738777661,0.0019607910003287543,0.0,Small,0.12,28
small_pendulum_rich,Small,20262123,BE,-1,8,0.0027308408351581184,0.06889600248791589,0.050666414740346305,0.0009686659996077651,0.0,Small,0.12,28
small_pendulum_rich,Small,20262123,Gen1,1,8,0.02389048939863434,0.05172502774498927,0.0371382169733598,0.002977999999984604,0.0,Small,0.12,28
small_pendulum_rich,Small,20262123,Gen2,2,8,0.030602884448296626,0.06033659094604717,0.04751482857136326,0.0030236669999794685,0.0,Small,0.12,28
small_pendulum_rich,Small,20262123,Gen3,3,8,0.033113835946500164,0.09505626634597407,0.054451860993220545,0.002001416999974026,0.0,Small,0.12,28
small_pendulum_rich,Small,20262124,BE,-1,8,0.0015584040873145466,0.06416502061672454,0.049704322892903254,0.0010071250003420573,0.0,Small,0.12,28
