task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,feature_family,task_family
small_pendulum_rich,Small,20266004,BE,-1,8,0.001299444939945091,0.11276406177568872,0.08262753043614883,0.0014174589996400755,0.0,rich,Small
small_pendulum_rich,Small,20266004,Gen2,2,8,0.02511083145228376,0.11212896510546268,0.07028269847383868,0.002897249999932683,0.0,rich,Small
small_pendulum_rich,Small,20266021,BE,-1,8,0.0008836634141458384,0.08921722233551663,0.07190901773006445,0.0014244170001802559,0.0,rich,Small
small_pendulum_rich,Small,20266021,Gen2,2,8,0.015497238095450092,0.08611814035933185,0.0645269032132065,0.002851749999990716,0.0,rich,Small
small_pendulum_rich,Small,20266038,BE,-1,8,0.0011501087970364199,0.08897040425244135,0.08089223518014786,0.0013873329999114503,0.0,rich,Small
small_pendulum_rich,Small,20266038,Gen2,2,8,0.021205777920392868,0.07494737147996858,0.06857024193090122,0.0029157909998502873,0.0,rich,Small
small_pendulum_rich,Small,20266055,BE,-1,8,0.0013292374553156466,0.10907879591032878,0.07843298982296723,0.0014769999997952254,0.0,rich,Small
small_pendulum_rich,Small,20266055,Gen2,2,8,0.024585339854300857,0.09269432215319859,0.06531679858165762,0.0028779170002053434,0.0,rich,Small
small_pendulum_rich,Small,20266072,BE,-1,8,0.0018354445313176696,0.08678331431664449,0.0831039353766822,0.001394874999732565,0.0,rich,Small
small_pendulum_rich,Small,20266072,Gen2,2,8,0.03253075431388842,0.08169286850047096,0.07161290916454886,0.0029229169999780424,0.0,rich,Small
small_pendulum_rich,Small,20266089,BE,-1,8,0.0020477276338266314,0.08063945017350722,0.07122968541975863,0.0013871659998585528,0.0,rich,Small
small_pendulum_rich,Small,20266089,Gen2,2,8,0.032768059425870986,0.07368984976177317,0.059163131854549376,0.0029994169999554288,0.0,rich,Small
small_pendulum_rich,Small,20266106,BE,-1,8,0.0012581493215482668,0.09172494108217645,0.07600617627941741,0.0013450410001496493,0.0,rich,Small
small_pendulum_rich,Small,20266106,Gen2,2,8,0.02475229591347976,0.08556798006597086,0.06366976080968609,0.0029036249998171115,0.0,rich,Small
small_pendulum_rich,Small,20266123,BE,-1,8,0.0012730557974978188,0.1097294327114293,0.07385370149094796,0.0015601660002175777,0.0,rich,Small
small_pendulum_rich,Small,20266123,Gen2,2,8,0.022294492500840188,0.0922545289514449,0.06233550388693213,0.0030424159999711264,0.0,rich,Small
small_pendulum_rich,Small,20266140,BE,-1,8,0.0020227287253829457,0.10236648744535898,0.07144068856166726,0.0013922920002187311,0.0,rich,Small
small_pendulum_rich,Small,20266140,Gen2,2,8,0.03535303311956795,0.10020394521893466,0.06240029354198121,0.0029247080001368886,0.0,rich,Small
small_pendulum_rich,Small,20266157,BE,-1,8,0.001040086155171282,0.11015150370248392,0.0790075594076758,0.0013722089997827425,0.0,rich,Small
small_pendulum_rich,Small,20266157,Gen2,2,8,0.01950421187822591,0.10868179359783811,0.06931746130682494,0.002812791999986075,0.0,rich,Small
small_pendulum_rich,Small,20266174,BE,-1,8,0.001653456040775431,0.10966145687523578,0.07957271935807494,0.0013912499998696148,0.0,rich,Small
small_pendulum_rich,Small,20266174,Gen2,2,8,0.027371981531910748,0.09862865123485978,0.0688078846072072,0.002946208999674127,0.0,rich,Small
