task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,feature_family,task_family
small_pendulum_rich,Small,20266004,BE,-1,8,0.002433719666137983,0.0932297953068576,0.06333802216076641,0.00441539799999191,0.0,rich,Small
small_pendulum_rich,Small,20266004,Gen2,2,8,0.04302746333201825,0.07645006937261,0.05105466936820619,0.009586822999835931,0.0,rich,Small
small_pendulum_linear,Small,20266006,BE,-1,8,0.005669719947568529,0.7304309115758325,0.34466539808534163,0.004264314000010927,0.0,linear,Small
small_pendulum_linear,Small,20266006,Gen2,2,8,0.09604344898189154,0.733241420146434,0.34579772185246,0.008931992999805516,0.0,linear,Small
medium_cartpole_like_quadratic,Medium,20267009,BE,-1,8,0.002540625167382796,0.2201192131690611,0.15308644472076954,0.004980541000122685,0.0,quadratic,Medium
medium_cartpole_like_quadratic,Medium,20267009,Gen2,2,8,0.03723229646436704,0.144671326359616,0.09902857043926,0.009758593000015026,0.0,quadratic,Medium
medium_cartpole_like_linear,Medium,20267006,BE,-1,8,0.017606268053451845,2.4859525157446263,1.2547437534777568,0.005091132999950787,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267006,Gen2,2,8,0.29518724814962544,2.4990027992665835,1.262026862336783,0.008896635000155584,0.0,linear,Medium
networked_lq_12d_quadratic,Large,20268009,BE,-1,8,0.04354003322097718,1.179234322016805,0.8680206826769975,0.023306766000132484,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268009,Gen2,2,8,0.7102397038808173,1.1831356029620363,0.7580590350605397,0.03957595599990782,0.0,quadratic,Large
