task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,feature_kind
small_pendulum_rich,Small,20261101,BE,-1,0,0.0028997732372849014,0.0930873673833882,0.08490576447740512,0.002667208000275423,
small_pendulum_rich,Small,20261101,BE,-1,1,0.001868320987694397,0.09603451912522698,0.0837079292998164,0.0027183340002920886,
small_pendulum_rich,Small,20261101,BE,-1,2,0.0015383528634602818,0.09929668348343575,0.08301843937496128,0.002087500000016007,
small_pendulum_rich,Small,20261101,BE,-1,4,0.0011687195508124826,0.10316492639638897,0.08403561906412067,0.002743000000009488,
small_pendulum_rich,Small,20261101,BE,-1,6,0.0009990102822063425,0.10552065304294783,0.08723899309762183,0.0018977909999193798,
small_pendulum_rich,Small,20261101,BE,-1,8,0.0008881197047767365,0.10759183339495446,0.0907064880633797,0.0027304579998599365,
small_pendulum_rich,Small,20261101,Gen2,2,0,0.07043458567306851,0.12699681642626445,0.09185368647852345,0.003569874999811873,
small_pendulum_rich,Small,20261101,Gen2,2,1,0.03703304469307495,0.11502290904583533,0.08532965753379564,0.006056290999822522,
small_pendulum_rich,Small,20261101,Gen2,2,2,0.028884634520804666,0.10261383501637251,0.07816556254759914,0.0053445829998963745,
small_pendulum_rich,Small,20261101,Gen2,2,4,0.02123955102836755,0.0941465990646951,0.07124137931588347,0.004630959000223811,
small_pendulum_rich,Small,20261101,Gen2,2,6,0.018138953558090202,0.0965232015721645,0.07192383970416612,0.005726166999920679,
small_pendulum_rich,Small,20261101,Gen2,2,8,0.016154199299977464,0.09917688809736175,0.0744388872800435,0.004645125000024564,
small_pendulum_rich,Small,20261101,MBLinear,-1,0,0.12062631717527252,0.8184858612451217,0.38487813871646415,0.005857916999957524,linear
small_pendulum_rich,Small,20261101,MBLinear,-1,1,0.120475775180153,0.8185419064016293,0.38490698061522355,0.009927916999913577,linear
small_pendulum_rich,Small,20261101,MBLinear,-1,2,0.12044748299709511,0.8176113175978622,0.38478700403536453,0.010536624999986088,linear
small_pendulum_rich,Small,20261101,MBLinear,-1,4,0.12077597788988419,0.817041690995748,0.385019937753639,0.020492708000347193,linear
small_pendulum_rich,Small,20261101,MBLinear,-1,6,0.12148276411515226,0.8176089518538502,0.38570632115637943,0.024213416000293364,linear
small_pendulum_rich,Small,20261101,MBLinear,-1,8,0.12246269154254581,0.8172591073504757,0.3861399135940753,0.032541582999783714,linear
small_pendulum_rich,Small,20261102,BE,-1,0,0.0036705916700869355,0.10337520395221066,0.08060172561503716,0.0018604169999889564,
small_pendulum_rich,Small,20261102,BE,-1,1,0.002143284738796968,0.09927561218512,0.07914865923429948,0.0026152499999625434,
small_pendulum_rich,Small,20261102,BE,-1,2,0.00157012680084759,0.09698337408876649,0.07821513793495072,0.001773707999745966,
small_pendulum_rich,Small,20261102,BE,-1,4,0.0012664549049106807,0.10162849848453906,0.08019515666864444,0.002617790999920544,
small_pendulum_rich,Small,20261102,BE,-1,6,0.001144161802858849,0.10847285015201556,0.08486570841719362,0.0029422919997159624,
small_pendulum_rich,Small,20261102,BE,-1,8,0.0010866900798503804,0.11191858521574893,0.08920539908953942,0.003006916999765963,
small_pendulum_rich,Small,20261102,Gen2,2,0,0.08907318589783651,0.15668032461292497,0.09807067048291399,0.003865000000132568,
small_pendulum_rich,Small,20261102,Gen2,2,1,0.04329479393428146,0.13929736629090456,0.0906097462803412,0.004259332999936305,
small_pendulum_rich,Small,20261102,Gen2,2,2,0.02982096642166137,0.11883867331120296,0.08210478226828627,0.0043570829998316185,
small_pendulum_rich,Small,20261102,Gen2,2,4,0.023355943017869866,0.09899625430411721,0.07370168525871347,0.0036809999996876286,
small_pendulum_rich,Small,20261102,Gen2,2,6,0.02085157577279291,0.10050283726523589,0.07499873923575012,0.005706542000098125,
small_pendulum_rich,Small,20261102,Gen2,2,8,0.01947080536641344,0.10312866763057062,0.07822345795862731,0.006419249999908061,
small_pendulum_rich,Small,20261102,MBLinear,-1,0,0.10169619656362124,0.822137940843501,0.39149298900229323,0.0037917080003353476,linear
small_pendulum_rich,Small,20261102,MBLinear,-1,1,0.10150761227475898,0.8207161976393509,0.3911269477785745,0.00833508300001995,linear
small_pendulum_rich,Small,20261102,MBLinear,-1,2,0.10133459058262802,0.8188166073316293,0.39045399607752573,0.008956665999903635,linear
small_pendulum_rich,Small,20261102,MBLinear,-1,4,0.10120009008052973,0.816692896995292,0.3892240414134675,0.017831749999913882,linear
small_pendulum_rich,Small,20261102,MBLinear,-1,6,0.10138627450879598,0.8157395543966773,0.38864237790051426,0.027268709000054514,linear
small_pendulum_rich,Small,20261102,MBLinear,-1,8,0.10179187201822125,0.8151941783356688,0.3882569600239752,0.026506458999847382,linear
small_pendulum_rich,Small,20261103,BE,-1,0,0.003254906148791032,0.11967434755023329,0.07828734506522793,0.003100749999703112,
small_pendulum_rich,Small,20261103,BE,-1,1,0.0022661359107577763,0.11227912063850098,0.07594961349203513,0.001855208000051789,
small_pendulum_rich,Small,20261103,BE,-1,2,0.001809301900657145,0.10468752228976162,0.0738865021194447,0.002462417000060668,
small_pendulum_rich,Small,20261103,BE,-1,4,0.0013662914169437074,0.096239655334182,0.07317209740603699,0.0018627499998729036,
small_pendulum_rich,Small,20261103,BE,-1,6,0.0011715342468509532,0.0913880261163233,0.07472866442981406,0.0018354999997427512,
small_pendulum_rich,Small,20261103,BE,-1,8,0.0010888646205434102,0.08656761929821316,0.0762440682645477,0.0025186670000039157,
