task,label,seed,method,time_index,time,rmse
small_pendulum_rich,Small,20261101,BE,0,0.0,0.10726046454633788
small_pendulum_rich,Small,20261101,BE,3,0.24,0.09499684687092497
small_pendulum_rich,Small,20261101,BE,6,0.48,0.10831905829616842
small_pendulum_rich,Small,20261101,BE,10,0.8,0.05598466028154873
small_pendulum_rich,Small,20261101,BE,13,1.04,0.02578939345051287
small_pendulum_rich,Small,20261101,BE,16,1.28,0.036833927514204494
small_pendulum_rich,Small,20261101,BE,18,1.44,0.03195907283951293
small_pendulum_rich,Small,20261101,Gen2,0,0.0,0.0953374949910637
small_pendulum_rich,Small,20261101,Gen2,3,0.24,0.08931468420889133
small_pendulum_rich,Small,20261101,Gen2,6,0.48,0.09559224820936837
small_pendulum_rich,Small,20261101,Gen2,10,0.8,0.05388475651666684
small_pendulum_rich,Small,20261101,Gen2,13,1.04,0.028757598487416082
small_pendulum_rich,Small,20261101,Gen2,16,1.28,0.03895640954757948
small_pendulum_rich,Small,20261101,Gen2,18,1.44,0.04061099542558432
small_pendulum_rich,Small,20261101,MBLinear,0,0.0,0.7433072713586696
small_pendulum_rich,Small,20261101,MBLinear,3,0.24,0.6240751696134411
small_pendulum_rich,Small,20261101,MBLinear,6,0.48,0.4958802042532357
small_pendulum_rich,Small,20261101,MBLinear,10,0.8,0.29956678845179247
small_pendulum_rich,Small,20261101,MBLinear,13,1.04,0.18311486369932486
small_pendulum_rich,Small,20261101,MBLinear,16,1.28,0.11689332925098886
small_pendulum_rich,Small,20261101,MBLinear,18,1.44,0.06158181242883707
small_pendulum_rich,Small,20261102,BE,0,0.0,0.15846029662916508
small_pendulum_rich,Small,20261102,BE,3,0.24,0.11082733315662023
small_pendulum_rich,Small,20261102,BE,6,0.48,0.11717637458414544
small_pendulum_rich,Small,20261102,BE,10,0.8,0.06359002200205607
small_pendulum_rich,Small,20261102,BE,13,1.04,0.034018774497748906
small_pendulum_rich,Small,20261102,BE,16,1.28,0.03856321934316487
small_pendulum_rich,Small,20261102,BE,18,1.44,0.03149630757215328
small_pendulum_rich,Small,20261102,Gen2,0,0.0,0.1855903530746887
small_pendulum_rich,Small,20261102,Gen2,3,0.24,0.10799716382586275
small_pendulum_rich,Small,20261102,Gen2,6,0.48,0.12941797776778308
small_pendulum_rich,Small,20261102,Gen2,10,0.8,0.07929545364012308
small_pendulum_rich,Small,20261102,Gen2,13,1.04,0.04244903134591993
small_pendulum_rich,Small,20261102,Gen2,16,1.28,0.039961249076952525
small_pendulum_rich,Small,20261102,Gen2,18,1.44,0.032521140036675764
small_pendulum_rich,Small,20261102,MBLinear,0,0.0,0.7194533464943041
small_pendulum_rich,Small,20261102,MBLinear,3,0.24,0.4968960526037545
small_pendulum_rich,Small,20261102,MBLinear,6,0.48,0.45161822991148975
small_pendulum_rich,Small,20261102,MBLinear,10,0.8,0.2584162203660705
small_pendulum_rich,Small,20261102,MBLinear,13,1.04,0.14401196806937827
small_pendulum_rich,Small,20261102,MBLinear,16,1.28,0.09898082123671945
small_pendulum_rich,Small,20261102,MBLinear,18,1.44,0.05387498523034211
medium_cartpole_like_quadratic,Medium,20261201,BE,0,0.0,0.13081080028157618
medium_cartpole_like_quadratic,Medium,20261201,BE,3,0.24,0.17976738754638227
medium_cartpole_like_quadratic,Medium,20261201,BE,6,0.48,0.1192166622437633
medium_cartpole_like_quadratic,Medium,20261201,BE,10,0.8,0.10534385343294372
medium_cartpole_like_quadratic,Medium,20261201,BE,13,1.04,0.12469994607424624
medium_cartpole_like_quadratic,Medium,20261201,BE,16,1.28,0.06329475575936781
medium_cartpole_like_quadratic,Medium,20261201,BE,18,1.44,0.06549825008709917
medium_cartpole_like_quadratic,Medium,20261201,Gen2,0,0.0,0.1031685853218678
medium_cartpole_like_quadratic,Medium,20261201,Gen2,3,0.24,0.11788924372789561
