task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,feature_kind
small_pendulum_rich,Small,20261101,BE,-1,6,0.019180192695696506,0.10100142858874583,0.07247884684452464,0.0016267470000457251,
small_pendulum_rich,Small,20261101,Gen2,2,4,0.246551560672763,0.09943188598169718,0.06622002337075285,0.0032022199998209544,
small_pendulum_rich,Small,20261101,MBLinear,-1,2,0.37420353793946687,0.8303719796302423,0.4573567492019973,0.004179148000048372,linear
small_pendulum_rich,Small,20261102,BE,-1,8,0.008846265926812655,0.10626767592233648,0.08373508497062833,0.0015411370000038005,
small_pendulum_rich,Small,20261102,Gen2,2,8,0.12099917913501744,0.1056183067164265,0.09387114355578971,0.0031801299999187904,
small_pendulum_rich,Small,20261102,MBLinear,-1,0,0.25067118369509456,0.5907407315892504,0.36515328670100944,0.002019509000092512,linear
medium_cartpole_like_quadratic,Medium,20261201,BE,-1,8,0.0031012070022380946,0.2758473647476889,0.15027724795651445,0.002482729999883304,
medium_cartpole_like_quadratic,Medium,20261201,Gen2,2,8,0.040490475905563594,0.20908375748534674,0.1145705257266446,0.003514190000032613,
medium_cartpole_like_quadratic,Medium,20261201,MBLinear,-1,4,0.2995184912985372,0.9585649585125523,0.52898441653176,0.0055241259999547765,linear
medium_cartpole_like_quadratic,Medium,20261202,BE,-1,8,0.008399125926211354,0.14211641279401258,0.09844573583059053,0.001712922000024264,
medium_cartpole_like_quadratic,Medium,20261202,Gen2,2,8,0.09598676238206844,0.10678721753559747,0.07405773709450345,0.0034846790001665795,
medium_cartpole_like_quadratic,Medium,20261202,MBLinear,-1,1,0.5127392056359346,0.5652675955986521,0.3269689005318836,0.003098749000173484,linear
networked_lq_12d_linear,Large,20261301,BE,-1,8,0.23924350976746528,7.576852168983592,4.150619318376485,0.0013836099999480211,
networked_lq_12d_linear,Large,20261301,Gen2,2,8,2.9974101372013653,7.583975786968263,4.149688316964573,0.002809922000096776,
networked_lq_12d_linear,Large,20261301,MBLinear,-1,8,15.99347980111851,4.039383622987323,1.9133563737594597,0.011708097999871825,linear
networked_lq_24d_linear,XLarge,20261401,BE,-1,8,0.25509994536193664,8.38387178616919,6.352526397652672,0.001919002000022374,
networked_lq_24d_linear,XLarge,20261401,Gen2,2,8,3.253424044628047,8.358265765683049,6.351640103545027,0.0037377690000539587,
networked_lq_24d_linear,XLarge,20261401,MBLinear,-1,6,29.524323218257862,4.971067628001393,3.0253341914379526,0.019563172000061968,linear
