task,seed,method,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
Small,20273000,BE,8,0.0007360632860207531,0.12066979328422706,0.08241473011337298,0.0025545829998918634
Small,20273000,Gen2,8,0.012967591087504426,0.12767805798224166,0.07544943748047543,0.004857165999965218
Small,20273000,MBLinear,1,0.10434365621798855,0.921623072573856,0.4206120269596086,0.00710300000037023
Small,20273000,MBQuadratic,2,0.000489810610402404,0.0281447061918293,0.012633208522521828,0.01210750000018379
Small,20273001,BE,8,0.0014474853151203175,0.08716787216314106,0.07541564651142084,0.0019970409998677496
Small,20273001,Gen2,8,0.026482316937712986,0.08214982711856296,0.06739431945749193,0.0044884170001751045
Small,20273001,MBLinear,1,0.12765747156918256,0.7058748164640394,0.35091811242738297,0.006571334000000206
Small,20273001,MBQuadratic,2,0.0004856964891610911,0.02532810053947541,0.013102994934265547,0.00974308300010307
Small,20273002,BE,8,0.0013040183902071397,0.1054583180669091,0.07938319300912511,0.002350249999835796
Small,20273002,Gen2,8,0.021725181593918088,0.10491073844357046,0.07137801432943623,0.004597582999849692
Small,20273002,MBLinear,1,0.11469647448851106,0.8243043179071627,0.38304618171837873,0.006499874999917665
Small,20273002,MBQuadratic,2,0.0004973601616112059,0.027596846291904113,0.014114128345328837,0.009574874999998428
Small,20273003,BE,8,0.001361754103752824,0.09377049983128895,0.06821342737494834,0.0020703749996755505
Small,20273003,Gen2,8,0.024736977995287686,0.07658766792326878,0.05274436232231279,0.005466916999921523
Small,20273003,MBLinear,0,0.10700022260474859,0.6714480973122549,0.3120121397128151,0.002656166000178928
Small,20273003,MBQuadratic,2,0.00046755523325078574,0.023283688190428253,0.01023165632661958,0.01057958299998063
Small,20273004,BE,8,0.0018378427007571647,0.10037343337603687,0.07840320110626131,0.0023098749998098356
Small,20273004,Gen2,8,0.03176061767135562,0.08291695700353444,0.061512848416452534,0.004500667000229441
Small,20273004,MBLinear,1,0.10406632132295097,0.6212258849504765,0.30268942080629774,0.005923207999785518
Small,20273004,MBQuadratic,4,0.0004903789687849525,0.019909887233868034,0.009428536535402002,0.019416624999848864
Small,20273005,BE,8,0.002269641047084811,0.08041180720460986,0.06157796689787663,0.0019647079998321715
Small,20273005,Gen2,8,0.039321913277144946,0.07217726350835015,0.051297733529218265,0.004516957999840088
Small,20273005,MBLinear,1,0.1181292040620867,0.6187376323257542,0.2897407536506257,0.005882749999727821
Small,20273005,MBQuadratic,2,0.0004789595349476073,0.03318375488561304,0.014659461313265723,0.012609290999989753
Small,20273006,BE,8,0.002002252782106179,0.18029125537117063,0.10512170717586261,0.0028648329998759436
Small,20273006,Gen2,8,0.032727824264381346,0.1878802743386502,0.09807227578056758,0.004562416999760899
Small,20273006,MBLinear,4,0.0982003855394024,0.9318918712019908,0.4251058786659027,0.01419670799987216
