task,seed,method,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
Small,20273000,BE,8,0.0040433589689917076,0.10483187211771766,0.07536528950345575,0.004733994999924107
Small,20273000,Gen2,8,0.06812405937888114,0.09586236851291852,0.06269670178159914,0.009790375999955359
Small,20273000,MBLinear,4,0.09137251367843012,0.7680932539675328,0.3554061591405235,0.014268683999944187
Small,20273000,MBQuadratic,4,0.0004992756908496146,0.027703175584372425,0.013045229853210003,0.02347795200012115
Small,20273001,BE,8,0.00293482497119229,0.09172131477102169,0.0694711634767993,0.004599475000077291
Small,20273001,Gen2,8,0.04857623798153422,0.0892699684076936,0.060232388303002406,0.009407100000089486
Small,20273001,MBLinear,2,0.1532737074764557,0.7712192576562824,0.35835649002192993,0.010496117999991839
Small,20273001,MBQuadratic,2,0.0005046667836357252,0.033926896336393675,0.01542255668381975,0.015216029999919556
Medium,20274000,BE,8,0.0021102306399627276,0.19928963471405262,0.11964085705251876,0.005457109999952081
Medium,20274000,Gen2,8,0.03232485710349818,0.11038912027404058,0.06481071569693181,0.011900503000106255
Medium,20274000,MBLinear,8,0.1883747575392746,0.8274124756252612,0.4094974219072124,0.03330603999984305
Medium,20274000,MBQuadratic,8,0.00020174518239467985,0.0512289976045651,0.02875108581020747,0.0874153039999328
Medium,20274001,BE,8,0.0016005440047379509,0.2924233201485111,0.18832737380468625,0.005562906000022849
Medium,20274001,Gen2,8,0.017544498190656416,0.15337613161978317,0.09453527591239691,0.010782155000015337
Medium,20274001,MBLinear,8,0.10223307980469407,1.1280532910355878,0.5905241919600953,0.03521303999991687
Medium,20274001,MBQuadratic,8,0.0001949766685129027,0.04756130418033379,0.03587215601272936,0.07515177599998424
Large,20275000,BE,8,0.02758412270154188,0.6299872940977017,0.5292652869983588,0.024194670999804657
Large,20275000,Gen2,8,0.4318123105833788,0.547545285025488,0.4034582691615614,0.04808966500013412
Large,20275000,MBLinear,8,5.889424434622654,6.853384125380935,3.7919650520770465,0.033651747000021714
Large,20275000,MBQuadratic,8,6.30144036040835,4.94248269439841,2.837610332938185,0.11504518100014138
