task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,dimension,horizon_mode
networked_lq_4d_quadratic,D4,20271040,BE,-1,8,0.0030162867540045706,0.3342739691231106,0.22730120861519545,0.0018900420000136364,0.0,4,48
networked_lq_4d_quadratic,D4,20271040,Gen2,2,8,0.038896184231650005,0.21824738970983384,0.14064644939505813,0.00424566700030482,0.0,4,48
networked_lq_4d_quadratic,D4,20271041,BE,-1,8,0.0033094466188565374,0.21806986316252752,0.18419883026001127,0.002376167000420537,0.0,4,48
networked_lq_4d_quadratic,D4,20271041,Gen2,2,8,0.043245033712573086,0.15886211641112405,0.12359769318664068,0.004792167000232439,0.0,4,48
networked_lq_4d_quadratic,D4,20271042,BE,-1,8,0.003607682317089345,0.35797546854907236,0.22984538462351034,0.002359209000132978,0.0,4,48
networked_lq_4d_quadratic,D4,20271042,Gen2,2,8,0.04323458947711228,0.24315807327063502,0.1361561889259123,0.004154292000293935,0.0,4,48
networked_lq_4d_quadratic,D4,20271043,BE,-1,8,0.004656151216740067,0.21665878526905274,0.17214142615725248,0.001922708000165585,0.0,4,48
networked_lq_4d_quadratic,D4,20271043,Gen2,2,8,0.0607229742368537,0.13072120764871117,0.10369780523364541,0.003704292000293208,0.0,4,48
networked_lq_4d_quadratic,D4,20271044,BE,-1,8,0.0031488755412378503,0.2845667376150774,0.19566654035357178,0.0018980830000145943,0.0,4,48
networked_lq_4d_quadratic,D4,20271044,Gen2,2,8,0.03735918836023793,0.17718417487298155,0.1186593515753913,0.004318167000292306,0.0,4,48
networked_lq_8d_quadratic,D8,20271080,BE,-1,8,0.007923957872420532,0.769820546397099,0.524219787854251,0.0043339580001884315,0.0,8,48
networked_lq_8d_quadratic,D8,20271080,Gen2,2,8,0.09260153667172515,0.5426899597872272,0.30015620095863593,0.006227707999642007,0.0,8,48
networked_lq_8d_quadratic,D8,20271081,BE,-1,8,0.009648786064950156,0.4933331804797003,0.3421752705064291,0.004140917000313493,0.0,8,48
networked_lq_8d_quadratic,D8,20271081,Gen2,2,8,0.09253718110900402,0.3145568214253324,0.19974179248342844,0.007683833999635681,0.0,8,48
networked_lq_8d_quadratic,D8,20271082,BE,-1,8,0.007783974747607055,0.45750356295200545,0.3093430433705241,0.0032722089999879245,0.0,8,48
networked_lq_8d_quadratic,D8,20271082,Gen2,2,8,0.0943780279716859,0.2557065285067991,0.1676634234648849,0.006922917000338202,0.0,8,48
networked_lq_8d_quadratic,D8,20271083,BE,-1,8,0.009928807286196049,0.5125819894769759,0.3065368493571551,0.003204666999863548,0.0,8,48
networked_lq_8d_quadratic,D8,20271083,Gen2,2,8,0.10983533518516937,0.2594236917989091,0.1681937546348065,0.00701604200003203,0.0,8,48
networked_lq_8d_quadratic,D8,20271084,BE,-1,8,0.006066287675157625,0.5144724752648174,0.32517106098384196,0.003841459000341274,0.0,8,48
networked_lq_8d_quadratic,D8,20271084,Gen2,2,8,0.08401227555825051,0.3754292704883793,0.21552829484336541,0.006602208000003884,0.0,8,48
networked_lq_12d_quadratic,D12,20271120,BE,-1,8,0.012160965100081675,0.6674405962984805,0.5330490442175316,0.008992582999781007,0.0,12,48
networked_lq_12d_quadratic,D12,20271120,Gen2,2,8,0.16016245188770784,0.3685957439557386,0.3230218749694497,0.020509082999979,0.0,12,48
networked_lq_12d_quadratic,D12,20271121,BE,-1,8,0.009602039121810454,0.46059271277123315,0.32637205292353316,0.010081875000196305,0.0,12,48
networked_lq_12d_quadratic,D12,20271121,Gen2,2,8,0.13311417874207973,0.3276029604258215,0.19850216921399036,0.01809716700017816,0.0,12,48
networked_lq_12d_quadratic,D12,20271122,BE,-1,8,0.007797847166063853,0.8957097933970243,0.546072768898241,0.0063699170000290906,0.0,12,48
networked_lq_12d_quadratic,D12,20271122,Gen2,2,8,0.13443330576503695,0.5423038327694073,0.3387389439528428,0.027062665999892488,0.0,12,48
networked_lq_12d_quadratic,D12,20271123,BE,-1,8,0.009009590723082246,0.5109750260259561,0.3876575045812719,0.007596250000005966,0.0,12,48
networked_lq_12d_quadratic,D12,20271123,Gen2,2,8,0.12951349689180866,0.42190984134020937,0.25305398447598554,0.020187792000342597,0.0,12,48
networked_lq_12d_quadratic,D12,20271124,BE,-1,8,0.013399595100088106,1.1849013311776144,0.5862752199521277,0.012289666000015131,0.0,12,48
networked_lq_12d_quadratic,D12,20271124,Gen2,2,8,0.17546444772845746,0.7238328295089036,0.35323060080060736,0.025856415999896853,0.0,12,48
networked_lq_24d_linear,D24,20271240,BE,-1,8,0.0415103473999104,8.26899139923794,5.240681816622389,0.0025300410002273566,0.0,24,48
networked_lq_24d_linear,D24,20271240,Gen2,2,8,0.6937825744882584,8.286115458127083,5.267935730322945,0.005738958999700117,0.0,24,48
networked_lq_24d_linear,D24,20271241,BE,-1,8,0.05148697766206878,8.50023512778755,5.528432533508863,0.0020818340003643243,0.0,24,48
networked_lq_24d_linear,D24,20271241,Gen2,2,8,0.9078968652875369,8.623842215447171,5.589720968430315,0.0050591250001161825,0.0,24,48
networked_lq_24d_linear,D24,20271242,BE,-1,8,0.06129548428531236,10.01763093028085,6.631932489439465,0.002321707999726641,0.0,24,48
networked_lq_24d_linear,D24,20271242,Gen2,2,8,1.107657343235407,9.980611613340338,6.624588507538616,0.0055129580000539136,0.0,24,48
networked_lq_24d_linear,D24,20271243,BE,-1,8,0.0618266564008462,11.162199177829137,6.523807754786723,0.0029156670002521423,0.0,24,48
networked_lq_24d_linear,D24,20271243,Gen2,2,8,0.9774041775092834,11.189935983234344,6.5364888231524585,0.004277584000192292,0.0,24,48
networked_lq_24d_linear,D24,20271244,BE,-1,8,0.048705229540579785,11.795592594682093,6.80506151938467,0.002104582999891136,0.0,24,48
networked_lq_24d_linear,D24,20271244,Gen2,2,8,0.7448153699458945,11.787315510918674,6.842305738811867,0.005548083000121551,0.0,24,48
networked_lq_48d_linear,D48,20271480,BE,-1,8,0.1422338796732131,17.609458509640717,10.473715632068009,0.005140499999924941,0.0,48,48
networked_lq_48d_linear,D48,20271480,Gen2,2,8,2.1364688783857226,17.39784117977513,10.433508437574435,0.011966332999691076,0.0,48,48
networked_lq_48d_linear,D48,20271481,BE,-1,8,0.13047308876682737,11.128430897908231,9.889653105155077,0.005993208000290906,0.0,48,48
