task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,dimension,horizon_mode
networked_lq_4d_quadratic,D4,20271040,BE,-1,8,0.005679056529858719,0.32207447606737655,0.20793618404124428,0.0043551009998736845,0.0,4,48
networked_lq_4d_quadratic,D4,20271040,Gen2,2,8,0.09503730245652971,0.26033724587428725,0.15868192346643367,0.008710780999990675,0.0,4,48
networked_lq_12d_quadratic,D12,20271120,BE,-1,8,0.05751415664063792,1.4219510642332687,0.8642942710617366,0.02390287499997612,0.0,12,48
networked_lq_12d_quadratic,D12,20271120,Gen2,2,8,0.9087206766056802,1.0516994726762825,0.6410083936439627,0.04464678099998309,0.0,12,48
networked_lq_24d_linear,D24,20271240,BE,-1,8,0.17850890962494667,12.672894168277839,7.758508487187226,0.005000470999902973,0.0,24,48
networked_lq_24d_linear,D24,20271240,Gen2,2,8,2.929000696682719,12.930491495302583,7.901362906686829,0.01128679899989038,0.0,24,48
networked_lq_12d_quadratic,Large,20272240,BE,-1,8,0.1447788855440865,0.6043827837339768,0.3995590302917606,0.009691333000091618,0.0,12,24
networked_lq_12d_quadratic,Large,20272240,Gen2,2,8,2.2770424564944265,0.5913335477744609,0.3546852265928515,0.01910012899998037,0.0,12,24
networked_lq_12d_quadratic,Large,20272480,BE,-1,8,0.08183011863924104,1.948326969673434,1.1281237907572872,0.020886052999912863,0.0,12,48
networked_lq_12d_quadratic,Large,20272480,Gen2,2,8,1.124773394299805,1.2209761438336397,0.7210213890283536,0.0411642330000177,0.0,12,48
