time_index,time,bandwidth_steps,min_eig,max_eig,cond,task,seed
0,0.0,0,5.4867350739883895e-05,2.344625308792013,42732.61378898088,Small,0
1,0.06,0,4.604830353844317e-05,2.7455746249413506,59623.79531852293,Small,0
2,0.12,0,3.054131298947319e-05,4.848942773928658,158766.6769794725,Small,0
3,0.18,0,1.5724727379997384e-05,9.534630995966294,606346.3464616123,Small,0
4,0.24,0,6.7665257182629875e-06,16.82899352485206,2487095.1837854204,Small,0
5,0.3,0,2.6502263656400103e-06,25.92742935874671,9783099.924932422,Small,0
6,0.36,0,9.203951842657206e-07,34.72219932339665,37725316.16524871,Small,0
7,0.42,0,2.7020990211285856e-07,40.161994018525206,148632576.76526874,Small,0
8,0.48,0,4.5789271327938915e-08,40.607469005851925,886833702.0483389,Small,0
9,0.54,0,1.4739231757647848e-08,35.83969756664348,2431585184.0817337,Small,0
10,0.6,0,7.405769958897782e-08,27.717816554333368,374273258.6640954,Small,0
11,0.6599999999999999,0,2.201877871991895e-07,18.78601894630704,85318169.48281766,Small,0
12,0.72,0,4.597484053549856e-07,11.06375540576688,24064804.3079654,Small,0
13,0.78,0,7.685566068885803e-07,5.662408773380893,7367588.4412789745,Small,0
14,0.84,0,1.0900957101942425e-06,2.8192032837024006,2586197.9432980716,Small,0
15,0.8999999999999999,0,1.2899448380858552e-06,2.0141164553093587,1561397.3526946309,Small,0
16,0.96,0,1.1826059048398545e-06,1.9459632447301862,1645487.5092084913,Small,0
17,1.02,0,8.134792851398256e-07,2.1494745407401745,2642322.4045228274,Small,0
18,1.08,0,4.323792388446597e-07,2.7618180610529786,6387489.992425869,Small,0
19,1.14,0,1.899662930741091e-07,3.9226114683657847,20648986.74858864,Small,0
20,1.2,0,8.768722895314488e-08,5.506854506117778,62801100.82005591,Small,0
21,1.26,0,4.078238865326926e-08,6.980847583254267,171173092.44942075,Small,0
22,1.3199999999999998,0,1.512278557324174e-08,7.8559247739651425,519476040.7014841,Small,0
23,1.38,0,2.85442379027032e-09,7.889928081794106,2764105354.1832037,Small,0
24,1.44,0,3.1870279768016004e-10,6.974762660549311,21884849180.235188,Small,0
25,1.5,0,1.521278022911268e-09,5.492843440361005,3610676916.1427555,Small,0
26,1.56,0,4.423476173554607e-09,3.9285328495484135,888109870.0236769,Small,0
27,1.6199999999999999,0,9.266629437972191e-09,2.7388668877124047,295562362.35035515,Small,0
28,1.68,0,1.595133761123267e-08,2.1606521230696756,135452723.5100447,Small,0
29,1.74,0,2.319063399827655e-08,1.9854465085658402,85614153.91719742,Small,0
30,1.7999999999999998,0,2.5679246632982884e-08,1.945668319147447,75768123.06667891,Small,0
31,1.8599999999999999,0,2.1523259072313628e-08,1.9559659014250386,90876846.06004156,Small,0
32,1.92,0,1.4015868503653709e-08,2.0044233289728304,143010997.031708,Small,0
33,1.98,0,6.980246849927686e-09,2.1021214091647353,301152875.30075145,Small,0
34,2.04,0,3.5065971102519663e-09,2.247365113188024,640896299.8964372,Small,0
35,2.1,0,2.0431548250504326e-09,2.404409345478755,1176812112.3270261,Small,0
36,2.16,0,1.0944793274018322e-09,2.5225066380667416,2304754941.379187,Small,0
37,2.2199999999999998,0,3.1624581467996567e-10,2.570397547470472,8127846846.199883,Small,0
38,2.28,0,3.308675193588129e-11,2.50856638674433,25085663867.4433,Small,0
39,2.34,0,1.9566240848535638e-11,2.3653669492973544,23653669492.97354,Small,0
40,2.4,0,7.857439681771772e-11,2.2163799531178405,22163799531.178406,Small,0
41,2.46,0,1.9225904580610025e-10,2.101913279764954,10932714614.035923,Small,0
42,2.52,0,3.4915271450023725e-10,2.0298638970390446,5813684994.385645,Small,0
43,2.58,0,5.04589555540829e-10,1.9923931117587894,3948542116.8167133,Small,0
44,2.6399999999999997,0,6.228679444925111e-10,1.9767886795941356,3173688254.586206,Small,0
