task,seed,order,startup_mode,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
Small,0,2,be,8,0.03328688111595269,0.09312903902300021,0.060538127889130634,0.004118750000088767
Small,1,2,be,8,0.024390702745547478,0.11649226938721008,0.07086679995002985,0.004149916000187659
Small,2,2,be,8,0.040611198552226835,0.0799425649399441,0.059189851376432685,0.004100665999885678
Small,3,2,be,8,0.03184798429375582,0.12677103679208865,0.07570060726933628,0.005124040999817225
Small,4,2,be,8,0.02060518423312593,0.1007909572921694,0.069233052373287,0.005169999999907304
Small,5,2,be,8,0.02716599807154116,0.09864603407936712,0.06727585099740596,0.00404695899987928
Small,6,2,be,8,0.01762601159416697,0.09087221181651899,0.06266493839565351,0.004704208000021026
Small,7,2,be,8,0.017448109565926285,0.07698060777021949,0.06451661350420552,0.005255250000118394
Small,8,2,be,8,0.015128198219788554,0.08864418902978852,0.07062167409799264,0.004208790999655321
Small,9,2,be,8,0.025562692720073256,0.09664910479750621,0.06796705011326196,0.004089667000243935
Small,10,2,be,8,0.02577749773960411,0.08906984575498532,0.06936392016265487,0.004574915999910445
Small,11,2,be,8,0.025849168290778664,0.0765548209935221,0.056639011593104416,0.004231124999932945
Small,0,2,zero,4,0.023424537541060778,0.17830083124227822,0.12671560938349474,0.0022705829996994
Small,1,2,zero,8,0.019977869147360005,0.16158231869613815,0.10662661533766127,0.002702875000068161
Small,2,2,zero,8,0.015585877004417591,0.14477933964043205,0.10446894283125897,0.002135250000264932
Small,3,2,zero,2,0.03552309190451099,0.16533499495267379,0.10204319492637598,0.0019156670000484155
Small,4,2,zero,8,0.030747386275621867,0.1187125675369565,0.0798527334746365,0.0021342920003917243
Small,5,2,zero,8,0.03957075798709,0.13066326114817942,0.10400313327233963,0.0031707499997537525
Small,6,2,zero,8,0.02064811782063144,0.08871536671071045,0.0964797899782196,0.0029003750000811124
Small,7,2,zero,8,0.03527163075829389,0.09914039871403763,0.09464069450408437,0.0025836250001702865
Small,8,2,zero,8,0.023983760906059158,0.1352744638582476,0.11795206671874678,0.002763749999758147
Small,9,2,zero,8,0.017194928136277238,0.09568244628943878,0.09114523593023809,0.0023204160002023855
Small,10,2,zero,8,0.021732403100279834,0.11506720725007884,0.10030179464284336,0.0021626669999932346
Small,11,2,zero,8,0.02532162262761062,0.07639061130728604,0.0710660992066502,0.0023981250001270382
Small,0,3,be,8,0.025477985971469035,0.11477972789242405,0.07727306272838706,0.004073708000305487
Small,1,3,be,8,0.02705058098954121,0.08632971419599796,0.0630578968097698,0.004817458000161423
Small,2,3,be,8,0.027786350051205576,0.12760816507289396,0.08563978602426735,0.0052473340001597535
Small,3,3,be,8,0.033816884774611505,0.0890136798380504,0.06296705710709075,0.004461167000044952
Small,4,3,be,8,0.025071828952681858,0.09196041272727037,0.06408525441236164,0.004674207999869395
Small,5,3,be,8,0.04336704697047237,0.09505610254538695,0.06731900467620028,0.004066292000061367
Small,6,3,be,8,0.02473676077731062,0.15196430793757235,0.09102325779148025,0.004444292000243877
Small,7,3,be,8,0.025672062646273457,0.09879425658747575,0.07674956389123552,0.004066375000093103
Small,8,3,be,8,0.017309538524226092,0.09162142291903823,0.0703913224206965,0.004568959000152972
Small,9,3,be,8,0.0404610602953522,0.09690954109329367,0.07521827851531016,0.004268791999948007
Small,10,3,be,8,0.02541010920568265,0.09772755921852508,0.07380627870643265,0.004639958000097977
Small,11,3,be,8,0.03452001956537295,0.10826618490415246,0.07496640974347195,0.004258124999978463
Small,0,3,zero,8,0.02202714225237062,0.08915194046366336,0.0857975418783836,0.002130291999947076
Small,1,3,zero,8,0.02648439183755388,0.08769178889694705,0.08412618405475886,0.0023499579997405817
Small,2,3,zero,8,0.02456881117285175,0.07874826512278894,0.09339692344794025,0.0022967499999140273
Small,3,3,zero,8,0.017290921675295952,0.10690668144396236,0.09551173733293057,0.0027533749998838175
Small,4,3,zero,8,0.024633110195890692,0.09429335847169062,0.09027464473728274,0.0021744169998783036
Small,5,3,zero,8,0.02596206785839655,0.10888761007222549,0.10553905952358607,0.002168083000015031
Small,6,3,zero,8,0.033622516303456994,0.12393965979669364,0.10180633182641759,0.0020961670002179744
Small,7,3,zero,6,0.036836287267576005,0.10170790537107331,0.09436799272303226,0.0021199160000833217
Small,8,3,zero,8,0.06616798256629362,0.11241936562264676,0.11434952793690548,0.002114708000135579
Small,9,3,zero,8,0.0351262202733597,0.11915547788450145,0.10079994168167301,0.0027790420003839245
Small,10,3,zero,8,0.020948870644638705,0.1530836607373778,0.12082574392004448,0.0030573749995710386
Small,11,3,zero,8,0.018458826274624588,0.08586923758990517,0.09865890813078716,0.002490332999968814
Medium,0,2,be,8,0.013814265882589383,0.12285773707475883,0.0903535490335006,0.00488579100010611
Medium,1,2,be,8,0.023256531798874467,0.07200269699329531,0.06964806405598926,0.004504291999637644
Medium,2,2,be,8,0.020430441730406056,0.07468293157069933,0.06366678780072219,0.005281040999761899
Medium,3,2,be,8,0.024740406185614204,0.09507925915860242,0.0754998645183348,0.004707416000201192
Medium,4,2,be,8,0.02363076199675685,0.09206180682853977,0.05876711390922524,0.004862708000018756
Medium,5,2,be,8,0.014983511624774353,0.10915866837185191,0.06406132424245548,0.004919375000099535
Medium,6,2,be,8,0.02013587913521062,0.11057474542510676,0.07581704288883961,0.005413625000073807
Medium,7,2,be,8,0.014078262097942494,0.0671623354037735,0.05099462743775796,0.004702041000200552
Medium,8,2,be,8,0.017842046499977483,0.10946233689595912,0.0744881986330507,0.005318332999650011
Medium,9,2,be,8,0.01834916568165676,0.083719786039348,0.062416301064350393,0.004810291000012512
Medium,10,2,be,8,0.019111720009813798,0.09532651915080068,0.058203419156303025,0.005164625000361411
Medium,11,2,be,8,0.016476013508057344,0.12962747788082807,0.07218056454949683,0.005196541000259458
Medium,0,2,zero,8,0.012480603808414426,0.1900624641497614,0.25693381617309285,0.0027693749998434214
Medium,1,2,zero,8,0.014101840424977032,0.1974930594539145,0.22389536992615197,0.0028895830000692513
Medium,2,2,zero,8,0.011896637534170055,0.1862334313892302,0.26611349295425807,0.0023329579998971894
Medium,3,2,zero,8,0.008950588065862738,0.31473305577723204,0.2742343479160582,0.0028150829998594418
Medium,4,2,zero,8,0.014801901097127835,0.1647790773245572,0.26801691587652615,0.002352999999857275
Medium,5,2,zero,8,0.025126543302825568,0.22777242819792656,0.28137541169449126,0.0029952089998914744
Medium,6,2,zero,8,0.013989161998247429,0.17369876898506534,0.2178937019344893,0.0030124999998406565
Medium,7,2,zero,8,0.017882452354033424,0.19582471189150505,0.249773084817441,0.0023773749999236315
Medium,8,2,zero,8,0.015303199583998542,0.34273292971689895,0.2455384838673208,0.002929457999925944
Medium,9,2,zero,8,0.012242267040994032,0.3286236219286183,0.25729324795614145,0.00286950000008801
