method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,family,dt,horizon_steps
BE,-1,24,0.0025565977719807097,0.0616741437133696,0.039819199016074044,0.0012988329981453717,Small,0.12,32
Gen1,1,24,0.021109915722232156,0.05146995441518068,0.031062966172206625,0.0026857500051846728,Small,0.12,32
Gen2,2,24,0.020583908309606054,0.07845257645813841,0.04264490367222712,0.002791374994558282,Small,0.12,32
Gen3,3,16,0.020436004651750442,0.10054688371943815,0.05913033828729826,0.005064416996901855,Small,0.12,32
BE,-1,16,0.002035976799679588,0.08065333388380784,0.05223237504908405,0.0013426250079646707,Small,0.12,32
Gen1,1,16,0.017075960536596716,0.06102819044076512,0.03729966446181864,0.003760332998353988,Small,0.12,32
Gen2,2,16,0.020832639060005112,0.08345833852432273,0.046157196905162685,0.002600334002636373,Small,0.12,32
Gen3,3,12,0.022716396305014066,0.11584740853142139,0.06378895058536134,0.00252604199340567,Small,0.12,32
BE,-1,16,0.0029834195683064385,0.08616723520284335,0.052149321807100704,0.0012472919916035607,Small,0.12,32
Gen1,1,0,0.024291166082078992,0.46195451030415974,0.21038448463303652,0.0019317499973112717,Small,0.12,32
Gen2,2,16,0.028790789094431283,0.09914713401710143,0.052286788830893216,0.003243416009354405,Small,0.12,32
Gen3,3,16,0.030237034033891403,0.15149647958471882,0.07410422372266032,0.002587915994809009,Small,0.12,32
BE,-1,24,0.002380212362149808,0.05165048505093094,0.034607215087530445,0.0014830419968347996,Small,0.12,32
Gen1,1,24,0.01980381989106467,0.041370029469037034,0.026491638543789327,0.0027674579905578867,Small,0.12,32
Gen2,2,24,0.027822211020749502,0.06323710434277069,0.03393270935991808,0.002915707998909056,Small,0.12,32
Gen3,3,16,0.03270236148178751,0.09755939039175983,0.053495831075218436,0.0028178750071674585,Small,0.12,32
BE,-1,24,0.0011943702258371707,0.048710866835017234,0.036585120015942885,0.0015046659973450005,Small,0.12,32
Gen1,1,24,0.008980774469474064,0.03978986337414768,0.028866461408426584,0.002623749998747371,Small,0.12,32
Gen2,2,24,0.011917534335827774,0.06935622443818922,0.04306132600764982,0.003082750001340173,Small,0.12,32
Gen3,3,24,0.015097944779907687,0.13555855841089123,0.08234109588592692,0.0026466249983059242,Small,0.12,32
